Hindi,English
"एथर-एनर्जी ने SEBI के पास फिर ड्राफ्ट पेपर्स फाइल किए:IPO में ₹2,626 करोड़ के नए शेयर जारी होंगे; 28-30 अप्रैल के बीच ओपन होगा","Ather-Energy again filed draft papers to SEBI: New shares worth ₹ 2,626 crore will be issued in IPO; Will open between 28-30 April"
"एथर एनर्जी ने IPO साइज 25% घटाकर ₹3,000 करोड़ किया:अब अप्रैल की जगह मई में होगी लिस्टिंग; अगले हफ्ते रिवाइज्ड ड्राफ्ट पेपर्स दाखिल करेगी कंपनी","Ather Energy reduced the IPO size by 25% to ₹ 3,000 crore: Now the listing will be in May instead of April; The company will file revised draft papers next week"
"इंपैक्ट फीचर:डेस्टिनेशन दुबई – सीजन 4, आरजे अर्चना और शुभि की धमाकेदार गर्ल्स ट्रिप! MYFM पर फिर गूंजेगी दुबई की रौनक","Impact feature: Destination Dubai - Season 4, RJ ​​Archana and Shubhi's bang Girls Trip! Dubai's beauty will resonate again on Myfm"
"गोल्ड का नया रिकॉर्ड, ₹1 लाख हुआ:112 दिन में ₹23,838 महंगा हो चुका है, इस साल ₹1.10 लाख तक जा सकते हैं दाम","Gold's new record, ₹ 1 lakh: ₹ 23,838 has become expensive in 112 days, this year you can go up to ₹ 1.10 lakh"
महाराष्ट्र में ओला के 121 स्टोर्स बंद होंगे:ट्रेड सर्टिफिकेट नहीं होने के चलते ट्रांसपोर्ट विभाग की कार्रवाई; पिछले महीने 32 स्टोर्स पर रेड हुई थी,121 stores of Ola will be closed in Maharashtra: Transport Department action due to lack of trade certificate; Last month was red at 32 stores
अमेरिका-भारत ने ट्रेड डील के लिए शर्तें फाइनल की:उपराष्ट्रपति जेडी वेंस बोले- इससे दोनों देशों के बीच फाइनल डील का रोडमैप तैयार होगा,America-India finalized conditions for trade deal: Vice President JD Vance said- This will prepare the final deal between the two countries
"HDFC बैंक का मार्केट कैप ₹15 लाख करोड़ पार:यह आंकड़ा पार करने वाली देश की तीसरी कंपनी बनी, बैंक का शेयर आज 1.71% चढ़ा","HDFC Bank's market cap crosses ₹ 15 lakh crore: This figure became the third company in the country, bank shares climbed 1.71% today"
"FD vs पोस्ट ऑफिस टाइम डिपॉजिट अकाउंट:SBI और HDFC सहित कई बैंकों ने FD इंटरेस्ट रेट्स में बदलाव किया, देखें अब कहां कितना ब्याज","FD vs post office time deposit account: Many banks including SBI and HDFC changed FD interest rates, see where how much interest now"
"बारिश के कारण पंजाब-कोलकाता मैच रद्ददोनों टीमों को 1-1 पॉइंट मिला, PBKS पॉइंट्स टेबल में चौथे नंबर पर पहुंची","Punjab-Kolkata matches canceled due to rain, other teams got 1-1 point, PBKS reached number four in the table"
"बारिश के कारण पंजाब-कोलकाता मैच रद्द:दोनों टीमों को 1-1 पॉइंट मिला, PBKS पॉइंट्स टेबल में चौथे नंबर पर पहुंची","Punjab-Kolkata match canceled due to rain: Both teams get 1-1 point, PBKS Points reached number four in the table"
इंडिया को पाकिस्तान से ICC इवेंट में नहीं खेलना चाहिए:पहलगाम आंतकी हमले के बाद सौरव गांगुली बोले; हमें सख्त कदम उठाना चाहिए,India should not play in the ICC event from Pakistan: Sourav Ganguly spoke after Pahalgam terrorist attack; We should take strict steps
आरपी सिंह बोले- श्रेयस शानदार कप्तान:गलतियां बहुत कम करते हैं; मुंबई के पास सीजन की बेस्ट बॉलिंग यूनिट,RP Singh said- Shreyas Fantastic Captain: Mistakes make very little mistakes; Best bowling unit of season near Mumbai
"IPL मैच एनालिसिसधोनी की टीम का प्लेऑफ में जाना हुआ मुश्किल:CSK की सातवीं हार, SRH ने 5 विकेट से हराया; हर्षल को 4 विकेट","The IPL match was difficult for Analysisadhony's team to know in the playoff: CSK's seventh defeat, SRH defeated by 5 wickets; 4 wickets for Harshal"
"धोनी 400वां टी-20 मैच खेलने वाले चौथे भारतीय:कामिंडू ने 11.09 मीटर दौड़कर कैच लपका, शमी को मैच की पहली बॉल पर विकेट; मोमेंट्स-रिकॉर्ड्स",Dhoni fourth Indian to play 400th T20 matches: Kamindu ran 11.09 meters and caught wickets on the first ball of the match to Shami; Moments-records
PBKS Vs KKR फैंटेसी:श्रेयस अय्यर को कप्तान और सुनील नरेन को वाइस कैप्टन चुन सकते हैं,PBKS vs KKR Fantasy: Shreyas Iyer can be selected as captain and Sunil Naren can choose Vice Captain
"हैदराबाद चेपॉक में चेन्नई के खिलाफ पहली बार जीती:होम टीम को 5 विकेट से हराया, मेंडिस के नाबाद 32 रन; हर्षल को 4 विकेट","Won for the first time against Chennai in Hyderabad Chepock: defeated home team by 5 wickets, 32 runs from Mendis; 4 wickets for Harshal"
"भास्कर IPL पोलईडन गार्डन्स में आज कोलकाता Vs पंजाब:श्रेयस अय्यर आज कितने रन बनाएंगे, कौन जीतेगा मैच; प्रिडिक्ट करें","Kolkata vs Punjab today at Bhaskar IPL Polidan Gardens: How many runs will Shreyas Iyer have scored today, who will win the match; Predict"
"नीरज चोपड़ा ने अरशद को इन्विटेशन भेजने पर सफाई दी:कहा- पहलगाम हमले से पहले बुलाया था, अब पाकिस्तानी जेवलिन थ्रोअर के आने का सवाल ही नहीं","Neeraj Chopra clarified on sending invitation to Arshad: He said- had called Pahalgam before the attack, now there is no question of Pakistani Javelin thrower coming"
"IPL मैच मोमेंट्सयशस्वी ने पहली गेंद पर छक्का लगाया:हेजलवुड को 2 गेंद पर 2 विकेट, कोहली ने सीजन में 5वीं फिफ्टी लगाई","IPL Match Momentsyasvi hit a six on the first ball: 2 wickets off Hazelwood, Kohli put 5th fifty in the season"
"भास्कर IPL पोलवानखेड़े में आज मुंबई vs लखनऊ:रोहित शर्मा आज कितने रन बनाएंगे, कौन जीतेगा मैच; प्रिडिक्ट करें","Bhaskar IPL Polywakhede in Mumbai vs Lucknow today: How many runs Rohit Sharma will score today, who will win the match; Predict"
IPL मैच मोमेंट्सप्रभसिमरन ने स्विच हिट पर सिक्स लगाया:प्रियांश ने चौके से पंजाब का खाता खोला; वैभव से श्रेयस का कैच छूटा,IPL Match Momentsprabhasimran imposed six on the switch hit: Priyansh opened Punjab's account with fours; Shreyas's catch missed from Vaibhav
"भास्कर IPL पोलअरुण जेटली स्टेडियम में आज दिल्ली Vs बेंगलुरु:विराट कोहली आज कितने रन बनाएंगे, कौन जीतेगा मैच; प्रिडिक्ट करें","Delhi vs Bengaluru today at Bhaskar IPL Polarun Jaitley Stadium: How many runs will Virat Kohli score today, who will win the match; Predict"
"IPL मैच प्री-व्यूIPL में आज दूसरा मैच दिल्ली Vs बेंगलुरु:सीजन में दूसरी बार होगा सामना, जीतने वाली टीम पॉइंट्स टेबल में टॉप पर आ जाएगी","The second match in IPL match pre-verse IPL today Delhi vs Bengaluru: Will face the second time in the season, the winning team will top the points table"
"भास्कर IPL पोलआज चेन्नई vs हैदराबाद:पहले बैटिंग करने वाली टीम कितना स्कोर करेगी, कौन जीतेगा मैच; प्रिडिक्ट करें","Bhaskar IPL Polyz Chennai vs Hyderabad: How much will the team score the first batting, who will win the match; Predict"
IPL मैच एनालिसिसहेजलवुड के 19वें ओवर ने RCB को दिलाई जीत:राजस्थान लगातार 5वां मैच हारा; कोहली और पडिक्कल ने फिफ्टी लगाई,The 19th over of IPL match AnalysisHejalwood won RCB: Rajasthan lost the 5th consecutive match; Kohli and Padikkal put fifty
"CSK Vs SRH फैंटेसी-11:अभिषेक शर्मा  को कप्तान बनाया जा सकता है, जबकि रविंद्र जडेजा को वाइस कैप्टन चुन सकते हैं","CSK vs SRH Fantasy-11: Abhishek Sharma can be made captain, while Ravindra Jadeja can be chosen as Vice Captain"
RCB की होमग्राउंड पर पहली जीत:राजस्थान को 11 रन से हराया; हेजलवुड ने 19वें ओवर में 2 विकेट लेकर पलटा मैच,RCB's first win on homeground: defeated Rajasthan by 11 runs; Hazelwood overturned 2 wickets in 19th over
पाकिस्तानी ओलिंपिक गोल्ड मेडलिस्ट जेवलिन थ्रोअर अरशद भारत नहीं आएंगे:नीरज चोपड़ा का इनविटेशन ठुकराया; बेंगलुरु में 24 मई को है एनसी क्लासिक टूर्नामेंट,Pakistani Olympic Gold Medalist Javelin Throor Arshad will not come to India: Neeraj Chopra's invitation rejected; NC classic tournament is held in Bengaluru on 24 May
PSL में पाकिस्तान गेंदबाज इफ्तिखार पर लगा चकिंग का आरोप:न्‍यूजीलैंड के क्रिकेटर कॉलिन मुनरो ने एक्शन दिखाया; दोनों में बहस,Pakistan bowler Iftikhar accused of Chaking in PSL: New Zealand cricketer Colin Munro showed action; Debate in both
"भास्कर IPL पोलआज बेंगलुरु का सामना राजस्थान से होगा:कौन मारेगा बाजी, कितने रन बनाएंगे विराट कोहली; अपनी राय दीजिए","Bhaskar IPL Polyz Bengaluru will face Rajasthan: Who will kill Baji, how many runs will Virat Kohli score; Give your opinion"
IPL मैच एनालिसिसपावरप्ले में बेहतरीन बॉलिंग से जीती मुंबई इंडियंस:हैदराबाद को हराकर पॉइंट्स टेबल में तीसरे नंबर पर पहुंची MI; रोहित की फिफ्टी,Mumbai Indians won by the best bowling at the IPL match AnalysisPavarplay: Mi reached number three in the points table after defeating Hyderabad; Rohit's fifty
गौतम गंभीर को जान से मारने की धमकी:ISIS कश्मीर ने लिखा- I KILL U; 4 साल पहले भी ऐसा ही मेल मिला था,Gautam Gambhir threatened to kill: ISIS Kashmir wrote- I Kill U; A similar mail was received 4 years ago
"रोहित टी-20 में 12 हजार रन बनाने वाले दूसरे भारतीय:मुंबई के लिए हाईएस्ट सिक्स भी लगाए, काली पट्टी बांधकर उतरे प्लेयर्स; मोमेंट्स-रिकॉर्ड्स",Second Indian to score 12 thousand runs in Rohit T20: Players landed by tied black bands for Mumbai; Moments-records
"कुंबले बोले- RR चिन्नास्वामी में वापसी कर सकती है:टीम को बटलर की कमी खल रही, RCB घरेलू परिस्थितियों के अनुकूल नहीं बन पा रही","Kumble said- RR can return to Chinnaswamy: Team is missing Butler, RCB is not able to adapt to domestic conditions"
"RCB Vs RR फैंटेसी-11:विराट कोहली को कप्तान बनाया जा सकता है, जबकि यशस्वी जायसवाल को वाइस कैप्टन चुन सकते हैं","RCB Vs RR Fantasy-11: Virat Kohli can be made captain, while Yashasvi Jaiswal can be chosen as Vice Captain"
"मुंबई इंडियंस ने लगातार चौथा मैच जीता:हैदराबाद को 7 विकेट से हराया, पॉइंट्स टेबल के टॉप-3 में पहुंचे; बोल्ट को 4 विकेट","Mumbai Indians won the fourth consecutive match: defeated Hyderabad by 7 wickets, reaching the top-3 of the points table; Bolt gets 4 wickets"
रमीज राजा प्रजेंटेशन में PSL को IPL कह बैठे:बोले-जोशुआ लिटिल ने IPL का बेहतरीन कैच पकड़ा; IPL में कर चुके हैं कमेंट्री,"In the Rameez Raja presentation, PSL sat calling IPL: Bola-Joshua Little caught the best catch of IPL; Have commented in IPL"
हैदराबाद-मुंबई मैच में नहीं होगा पटाखे-चीयरलीडर्स का सेलिब्रेशन:काली पट्टी पहनकर उतरेंगे खिलाड़ी; कश्मीर टेरर अटैक में मारे गए लोगों को देंगे श्रद्धांजलि,"Hyderabad-Mumbai match will not be in the match, celebrations of firecrackers-Celebrs: Players will wearing black bandage; Kashmir will pay tribute to those killed in terror attack"
"वॉर्नर और कोहली को पीछे छोड़ राहुल ने बनाया रिकॉर्ड:स्टब्स-स्टार्क से छूटे कैच, मुकेश ने एक ही ओवर में झटके दो विकेट; मोमेंट्स-रिकॉर्ड्स","Leading behind Warner and Kohli, Rahul set a record: Catch from Stabs-Stark, Mukesh jerked two wickets in a single over; Moments-records"
"IPL मैच एनालिसिसबेहतरीन डेथ बॉलिंग से जीती दिल्ली:लखनऊ को 8 विकेट से हराया, पोरेल और राहुल की फिफ्टी; मुकेश कुमार को 4 विकेट","IPL match Analysis won by Death bowling Delhi: defeated Lucknow by 8 wickets, Porel and Rahul's fifty; 4 wickets to Mukesh Kumar"
SRH Vs MI फैंटेसी-11:सूर्य कुमार MI के टॉप रन स्कोरर चुन सकते हैं कप्तान,SRH vs Mi Fantasy-11: Captain can choose the top run scorer of Surya Kumar Mi
"भास्कर IPL पोलIPL में हैदराबाद vs मुंबई:कौन बनेगा मैच का हीरो, कितने रन बनाएंगे अभिषेक शर्मा; प्रिडिक्शन दीजिए","Bhaskar IPL Poll IPL Hyderabad vs Mumbai: Kaun Banega Match Hero, how many runs will Abhishek Sharma score; Give preference"
"LSG की हार से निराश हुए फैंस:मैच समाप्त होने के पहले ही स्टेडियम से निकले, KL राहुल का क्रेज रहा","Fans disappointed with LSG's defeat: KL came out of the stadium before the match was over, KL Rahul's craze"
दिल्ली ने लखनऊ को 8 विकेट से हराया:पोरेल और राहुल ने फिफ्टी लगाई; मुकेश कुमार ने 4 विकेट लिए,Delhi defeated Lucknow by 8 wickets: Porel and Rahul imposed fifty; Mukesh Kumar took 4 wickets
"विनेश फोगाट के प्राइज मनी-प्लॉट को CM की मंजूरी:दोनों फाइलों पर सैनी के साइन हुए; खेल विभाग 4 करोड़, HSVP प्लॉट देगा","Vinesh Phogat's prize money-plot approval for CM: Saini signed on both files; Sports Department 4 Crore, HSVP Plot"
पूरन से बोला फैन- सिर फूट जाए कोई बात नहीं:लखनऊ में छक्के लगने चाहिए; गेंद से घायल फैन से मिले क्रिकेटर...कैप गिफ्ट की,Fan said to Puran- Nothing should be broken: sixes should be hit in Lucknow; Cricketer met fan injured by ball ... cap gift
"मयंक यादव ने नेट्स में बहाया पसीना:निकोलस पूरन ने लगाई बड़ी हिट्स, जस्टिन लैंगर ने पिच का लिया जायजा","Mayank Yadav sweats in the nets: Nicholas Puran set big hits, Justin Langer reviewed the pitch"
"बुमराह बने विजडन क्रिकेटर ऑफ द ईयर:महिलाओं में स्मृति मंधाना को मिला यह खिताब, वेस्टइंडीज के पूरन टी-20 में बेस्ट क्रिकेटर","Bumrah became Wisdon Cricketer of the Year: Smriti Mandhana gets this title among women, West Indies Puran T20 Best Cricketer in T20"
"भास्कर IPL पोल40वें मैच में आज लखनऊ के सामने दिल्ली:निकोलस पूरन कितने रन बनाएंगे, प्लेयर ऑफ द मैच कौन होगा; अपना प्रिडिक्शन दीजिए","Bhaskar IPL Poll in front of Lucknow today in the 40th match Delhi: How many runs will Nicolas Puran score, who will be the player of the match; Give your prevention"
IPL मैच मोमेंट्सबटलर की 2 स्टंपिंग ने बदला मैच का रुख:प्रसिद्ध के एक ओवर में दो विकेट; मनीष-वैभव से छूटे बटलर के कैच,IPL Match Momentsbatler's 2 stumping changed the match: Two wickets in one over; Butler's catch left out of Manish-Vibhava
"आज का एक्सप्लेनर:मैच हराने की मशीन बने धोनी, कभी नौवें नंबर पर उतरे, कभी स्लो बैटिंग; फिर भी CSK शौक से क्यों ढो रही","Today's Excellener: Dhoni became a match defeating machine, sometimes landed at number nine, sometimes slow batting; Why CSK is still carrying hobbies"
"राजस्थान रॉयल्स की हार पर भिड़े टीम प्रबंधन और RCA:जयदीप बिहाणी के मैच फिक्सिंग के आरोप को बताया बेबुनियाद, सीएम से सख्त कार्रवाई की मांग","Team management and RCA clashed over Rajasthan Royals' defeat: Jayadeep Bihani's allegation of match fixing told baseless, demand for strict action from CM"
"IPL मैच एनालिसिसकोलकाता को हराकर टेबल टॉपर बनी गुजरात टाइटंस:छठा मैच जीता, कप्तान शुभमन ने 90 रन बनाए; प्रसिद्ध-राशिद को 2-2 विकेट","Gujarat Titans became table topper after defeating IPL match Analysiskolakata: Won the sixth match, captain Shubman scored 90 runs; 2-2 wickets for famous Rashid"
"लखनऊ Vs दिल्ली फैंटेसी-11:निकोलस पूरन IPL 2025 के टॉप रन स्कोरर, कप्तान चुन सकते हैं","Lucknow vs Delhi Fantasy-11: Nicholas Puran IPL 2025 top run scorer, captain can choose"
"गुजरात ने कोलकाता को 39 रन से हराया:प्रसिद्ध और राशिद को 2-2 विकेट, शुभमन और सुदर्शन ने फिफ्टी लगाई","Gujarat defeated Kolkata by 39 runs: Famous and Rashid 2-2 wickets, Shubman and Sudarshan put fifty"
"RCA एडहॉक कमेटी संयोजक बोले-राजस्थान रॉयल्स जीता मैच कैसे हारी?:लखनऊ के खिलाफ मैच पर संदेह; जिसका नाम लाल डायरी में था, वह कुछ भी कर सकता है","RCA Adhoc Committee Convenor said-How to win the match?: Doubt the match against Lucknow; Whose name was in the red diary, he can do anything"
"34 खिलाड़ियों को मिला BCCI का सेंट्रल कॉन्ट्रैक्ट:श्रेयस-ईशान की वापसी, रोहित-विराट A+ में बरकरार, अश्विन सहित पांच खिलाड़ी बाहर किए गए","34 players got BCCI's Central Contract: Five players including Shreyas-Ishan's return, Rohit-Virat A+ were excluded, including Ashwin."
"हॉलीवुड एक्ट्रेस, जिसकी नग्न लाश मिली:रेप कर चेहरे पर गोली मारी गई, साथ पड़ी थी कातिल की लाश, पति ने कर ली आत्महत्या","Hollywood actress, whose naked corpse was found: Rape was shot and shot on his face, murdered body, husband committed suicide"
"सलमान की बहन की क्यूटनेस पर फिदा थे आयुष:पहली नजर में ही भा गई थीं अर्पिता खान, एक्टर ने शेयर किया लव स्टोरी का किस्सा","Ayush was fed on Salman's sister's cuteness: Arpita Khan was liked at first sight, actor shared the story of love story"
"पापा के संघर्ष और खेती से जुड़ाव ने दी ताकत:'मिस वर्ल्ड 2025' में भारत को रिप्रेजेंट करेंगी नंदिनी गुप्ता, बोलीं- 10 साल से था यह सपना","Papa's struggle and association with farming strengthened: Nandini Gupta will represent India in 'Miss World 2025', said- This dream was for 10 years"
"अक्षय कुमार ने बनाई असिन-राहुल की जोड़ी:गजनी एक्ट्रेस के पति ने खोला राज, खिलाड़ी कुमार ने कराई थी दोनों की पहली मुलाकात","Akshay Kumar formed the pair of Asin-Rahul: Ghajini actress's husband opened Raj, Khiladi Kumar had both met first"
"फैंस के प्यार से मिलता है मुझे हौसला:इमरान हाशमी ने कहा - हमें अपनी जड़ों से जुड़ी कहानियां बनानी चाहिए, तभी आएगी ऑडियंस थिएटर","I get courage with the love of fans: Emraan Hashmi said - We should make stories related to our roots, only then the audience theater will come"
"अक्षय कुमार की फिल्म पर चोरी का आरोप:यूट्यूबर का दावा- 'केसरी-2' के डायलॉग्स में पांच साल पुरानी कविता की हूबहू कॉपी, क्रेडिट भी नहीं","Akshay Kumar's film allegations of theft: YouTuber claims- five-year-old poetry copy in 'Kesari-2' dialogues, not even credit"
"पूर्व पाकिस्तानी मंत्री ने अदनान की नागरिकता पर उठाया सवाल:भड़के सिंगर, एक्स पर जवाब देते हुए कहा- 'अनपढ़ मूर्ख'","Former Pakistani minister raised questions on Adnan's citizenship: Ranging singer, replying to X and said- 'illiterate fools'"
"पाकिस्तानी कलाकारों संग काम करने पर देशद्रोह का होगा केस:FWICE ने मंत्रालय को लिखा पत्र , बोले- इंडियन कलाकार ऐसा करना से पहले हजार बार सोचें","Working with Pakistani artists will be a case of treason: FWICE wrote a letter to the ministry, said- Indian artists think a thousand times before doing so"
"एआर रहमान पर शास्त्रीय संगीत चोरी का आरोप:दिल्ली हाईकोर्ट ने लगाया 2 करोड़ का जुर्माना, पोन्नियिन सेलवन 2 का गाना बताया डागर परिवार की रचना","AR Rahman accused of classical music theft: Delhi High Court imposed a fine of 2 crores, the song of Ponyin Selvan 2 told the creation of the Dagar family"
"'कश्मीर हमारा था, हमारा है और हमेशा हमारा ही रहेगा':सुनील शेट्टी का पहलगाम हमले पर जवाब, बोले- अब से अगली छुट्टी कश्मीर में होगी","'Kashmir was ours, ours and will always remain ours': Sunil Shetty's answer to Pahalgam attack, said- from now on, the next holiday will be in Kashmir"
"शराब की लत के कारण टूटा था शुभांगी-पीयूष का रिश्ता:एक्स हसबैंड के निधन के बाद एक्ट्रेस का खुलासा, बोलीं- फेम के कारण नहीं छोड़ा था","Shubhangi-Piyush relationship was broken due to alcohol addiction: Actress revealed after the death of X Husband, Boli was not left due to fame"
पहलगाम हमले पर भड़के रजनीकांत:बोले- दुश्मन कश्मीर की शांति बिगाड़ना चाहते हैं; धर्मेंद्र बोले- मेरा दिल रो रहा है,Rajinikanth furious over the Pahalgam attack: said- Enemies want to spoil the peace of Kashmir; Dharmendra said- My heart is crying
बिना इंटिमेसी कोच सीरीज में दिया बोल्ड सीन:‘आश्रम’ के लिए 4 दिन में सीखी कुश्ती; कभी मेडिकल बिल भरने के नहीं थे पैसे,Bold scene given in without intimacy coach series: Wrestling learned in 4 days for 'Ashram'; Money was never to pay medical bills
"राजकुमार-राव बोले- अपनी शादी के तीन दिन रिपीट करना चाहूंगा:बचपन में राजमंदिर के किस्से सुनता था, वामिका ने बताया- उनका चोर बाजारी गाने से जुड़ाव","Rajkumar-Rao said- I would like to repeat for three days of his marriage: In childhood, he used to listen to stories of Rajmandir, Vamika told- his thief involved with Bajari songs"
कश्मीरी लड़कियों ने नहीं पहचाना ए.आर. रहमान को:जब रॉकस्टार की शूटिंग के दौरान कश्मीरी लड़कियों ने रहमान को इलेक्ट्रिशियन समझ लिया,Kashmiri girls did not recognize AR Rehman: When Kashmiri girls considered Rahman as electrician during Rockstar shooting
"रितेश देशमुख के फिल्म राजा शिवाजी के सेट पर हादसा:26 साल के डांसर की मिली डेडबॉडी, फिल्म की शूटिंग रुकी","Accident on the set of Ritesh Deshmukh's film Raja Shivaji: 26 -year -old dancer's deadbody, shooting of the film stopped"
"पैपराजी पर फिर भड़के कैनेडियन सिंगर जस्टिन बीबर:कहा- बिना इजाजत फोटो और आंखों में फ्लैश मारना बंद करो, शेयर किया नया वीडियो","Canadian singer Justin Bieber rang again on Paparai: Said- Stop flash without permission, shared new video"
"रोल के लिए बढ़ा लिया वजन और बाल:विक्रांत मैसी बनेंगे श्री श्री रविशंकर, कोलंबिया के 52 साल के गृहयुद्ध पर आधारित होगी फिल्म","Increased weight and hair for the role: Vikrant Massey will become Sri Sri Ravi Shankar, Colombia's 52 -year civil war will be based on the film"
"पाकिस्तान में रिलीज नहीं होगी फिल्म केसरी वीर:प्रोड्यूसर कनु चौहान का बड़ा फैसला, बोले- मेरी आत्मा को स्वीकार नहीं ये फिल्म पाकिस्तान में आए","Film Kesari Veer will not be released in Pakistan: Producer Kanu Chauhan's big decision, said- I do not accept my soul, these films come to Pakistan"
पहलगाम आतंकी हमले के बाद अरिजीत सिंह का बड़ा फैसला:चेन्नई में होने वाले कॉन्सर्ट को किया रद्द; कहा- टिकट के पूरे पैसे किए जाएंगे रिफंड,Arijit Singh's major decision after the Pahalgam terror attack: canceled the concert to be held in Chennai; Said- Refund will be made full money for tickets
"पाकिस्तान पर सीधा हमला करने की मांग:पहलगाम हमले पर भड़के मुकेश खन्ना, कहा- 'मोदी जी, एक बार में अटैक कर सब खत्म कीजिए'","Demand for direct attack on Pakistan: Mukesh Khanna furious over Pahalgam attack, said- 'Modi ji, finish everything by attacking at one time'"
"मूवी रिव्यू- ग्राउंड जीरो:सीमा सुरक्षा बल के जवानों की शौर्यगाथा से रूबरू कराती फिल्म, इमरान हाशमी ने शिद्दत से निभाया किरदार, स्क्रीनप्ले थोड़ा कमजोर","Movie Review- Ground Zero: Film for Border Security Force soldiers, Emraan Hashmi played the character with a lot, the screenplay a little weak"
"पहलगाम हमले पर पाक कलाकारों की झूठी संवेदनाएं?:8 साल बाद फवाद की वापसी पर लगा ब्रेक, हानिया का डेब्यू अटका; माहिरा बोलीं- हमला कायरतापूर्ण","False condolences of Pakistani artists on Pahalgam attack?: Brake on the return of Fawad after 8 years, Hania's debut stuck; Mahira said- attack cowardly"
"'नागजिला’ के पोस्टर में कार्तिक की पुरानी फोटो का इस्तेमाल?:सोशल मीडिया यूजर्स का दावा, बोले- करण जौहर और उनकी टीम ने मेहनत करना छोड़ दिया","Use of Karthik's old photo in 'Nagjila' poster?: Social media users claim, said- Karan Johar and his team stopped working hard"
"ओम पुरी संग रिश्ते पर बोलीं एक्स वाइफ सीमा कपूर:मुझे दूसरी महिला के लिए छोड़ा, फिर मांगी माफी और मैंने कर दिया था माफ","Ex -wife Seema Kapoor spoke on the relationship with Om Puri: I left for another woman, then apologized and I had forgiven"
"पाक कलाकारों पर रोक की मांग, एक्ट्रेसेस ने दी सफाई:कश्मीर हमले के बाद 'अबीर गुलाल' का बहिष्कार, दिया मिर्जा बोलीं - मेरा बयान पुराना है","Demand for a ban on Pak artists, actresses clarified: Boycott 'Abir Gulal' after Kashmir attack, Diya Mirza said - My statement is old"
"जैश-ए-मोहम्मद के खिलाफ BSF का सबसे बड़ा मिशन:गाजी बाबा एनकाउंटर की कहानी लेकर आए इमरान, बोले- हर भारतीय को जाननी चाहिए ये स्टोरी","BSF's biggest mission against Jaish-e-Mohammed: Imran, who brought the story of Ghazi Baba encounter, said-every Indian should know this story"
पाकिस्तानी एक्टर फवाद की फिल्म 'अबीर गुलाल' के गाने हटे:वाणी कपूर का सोशल मीडिया पर विरोध; टल सकती है फिल्म की रिलीज डेट,"Songs from Pakistani actor Fawad's film 'Abir Gulal', Vani Kapoor's protest on social media; The release date of the film can be postponed"
पाकिस्तानी एक्टर फवाद की फिल्म अबीर गुलाल रिलीज नहीं होगी:पहलगाम हमले के बाद एक्शन; फिल्म फेडरेशन FWICE का पाकिस्तानी कलाकारों पर बैन का ऐलान,Pakistani actor Fawad's film Abir Gulal will not be released: Action after Pahalgam attack; Film federation FWICE announces a ban on Pakistani artists
"प्रभास की एक्ट्रेस पर लगे पाकिस्तान से कनेक्शन के आरोप:इमानवी बोलीं- इन बातों में कोई सच्चाई नहीं, कुछ भी कहते हैं लोग","Allegations of connection with Pakistan on Prabhas's actress: Imanvi said- there is no truth in these things, people say anything"
"पहलगाम आतंकी हमला, मीडिया पर भड़के शत्रुघ्न सिन्हा:बोले- ये हिंदुओं- हिंदुओं क्यों कह रहे हो; सलीम मर्चेंट बोले- कब खत्म होगा ये सब?","Pahalgam terror attack, Shatrughan Sinha raging on the media: said- Why are these Hindus and Hindus saying; Salim Merchant said- when will all this end?"
"‘8 रुपये में कॉलेज जाती थीं, खाली पेट रहती थीं’:नुसरत भरूचा बोलीं- बचपन से फाइनेंशियल स्ट्रगल देखा, पैसे बचाने की आदतें बरकरार हैं","'Used to go to college for 8 rupees, lived on an empty stomach': Nusrat Bharucha said- Looked financial struggle since childhood, habits to save money are intact"
"पहलगाम हमले पर करण वीर मेहरा ने सुनाई कविता:गुस्से से आगबबूला हुए लोग, बोले- क्या यहां कोई ऑडिशन चल रहा है?","Karan Veer Mehra narrated the poem on the Pahalgam attack: Anger people with anger, said- is there any audition going on here?"
"जैकलीन की मां के निधन पर सुकेश का नया ड्रामा:बाली में बनाया 'किम्स गार्डन', लेटर में लिखा- मां फिर लौटेंगी हमारी बेटी बनकर","Sukesh's new drama on the death of Jacqueline's mother: 'Kims Garden' built in Bali, written in letter- Mother will return again by becoming our daughter"
"वरुण @38, 4 बार रिजेक्ट फिर भी नताशा से शादी:डायरेक्टर ने रोका तब भी करते रहे नरगिस को किस, पब में परोसी शराब","Varun @38, 4 times rejected yet Natasha marries: The director stopped even then Kiss Nargis, alcohol served in the pub"
"पहलगाम हमले पर बॉलीवुड सेलेब्स का गुस्सा फूटा:आदित्य धर ने कहा- उन्हें कश्मीर चाहिए, हमें उनका सिर; विवेक अग्निहोत्री ने कहा- कट्टरपंथ के खिलाफ है मेरा सिनेमा","Bollywood celebs erupted over the Pahalgam attack: Aditya Dhar said- He needs Kashmir, we have their head; Vivek Agnihotri said- My cinema is against fundamentalism"
"बेटी के मरने की दुआ मांगती थीं मौसमी चटर्जी:कहा- उसने गलती की और खामियाजा भुगता, नाराजगी में आखिरी बार देखने भी नहीं पहुंची थीं",Moushumi Chatterjee used to pray for the daughter's death: She said- She made a mistake and did not even reach to see the last time in displeasure
